filename	xmlid	au-name	title	au-birth	au-death	au-ids	digitalSource	firsted-yr	title-ids	language	numwords	subgenre	narr-per	au-gender	sizeCat	reprintCount	time-slot
FRA03703_Sand	FRA03703	Sand, George [Amantine Lucile Aurore Dupin]	Le Compagnon du Tour de France    	1804	1876	viaf:46766944	NA	1840	viaf:194896547	fr	89154	NA	NA	F	medium	high	T1
FRA40474	FRA40474	Sand, George		NA	NA	viaf:46766944	NA	1840	NA	fra	83095	NA	NA	U	medium	unspecified	T1
FRA40567	FRA40567	Balzac, Honoré de	Pierrette    	NA	NA	viaf:29529595	NA	1840	NA	fra	51321	NA	NA	U	medium	unspecified	T1
FRA40001	FRA40001	Barbey d'Aurevilly, Jules	L'amour impossible    	NA	NA	viaf:49221211	NA	1841	NA	fra	34604	NA	NA	U	short	unspecified	T1
FRA40454	FRA40454	Sand, George		NA	NA	viaf:46766944	NA	1841	NA	fra	122840	NA	NA	U	long	unspecified	T1
FRA40563	FRA40563	Balzac, Honoré de	Mémoires de deux jeunes mariées    	NA	NA	viaf:29529595	NA	1841	NA	fra	80053	NA	NA	U	medium	unspecified	T1
FRA40566	FRA40566	Balzac, Honoré de	Ursule Mirouët    	NA	NA	viaf:29529595	NA	1841	NA	fra	82457	NA	NA	U	medium	unspecified	T1
FRA40571	FRA40571	Balzac, Honoré de	Une ténébreuse affaire    	NA	NA	viaf:29529595	NA	1841	NA	fra	72648	NA	NA	U	medium	unspecified	T1
FRA40572	FRA40572	Balzac, Honoré de	Le curé de village    	NA	NA	viaf:29529595	NA	1841	NA	fra	89397	NA	NA	U	medium	unspecified	T1
FRA40127	FRA40127	Sue, Eugène	Les mystères de Paris, tome 1    	NA	NA	viaf:66473859	NA	1842	NA	fra	120431	NA	NA	U	long	unspecified	T1
FRA40128	FRA40128	Sue, Eugène	Les mystères de Paris, tome 2    	NA	NA	viaf:66473859	NA	1842	NA	fra	122378	NA	NA	U	long	unspecified	T1
FRA40459	FRA40459	Sand, George		NA	NA	viaf:46766944	NA	1842	NA	fra	122059	NA	NA	U	long	unspecified	T1
FRA40460	FRA40460	Sand, George		NA	NA	viaf:46766944	NA	1842	NA	fra	107682	NA	NA	U	long	unspecified	T1
FRA40461	FRA40461	Sand, George		NA	NA	viaf:46766944	NA	1842	NA	fra	104120	NA	NA	U	long	unspecified	T1
FRA40561	FRA40561	Balzac, Honoré de	La fausse maîtresse    	NA	NA	viaf:29529595	NA	1842	NA	fra	18687	NA	NA	U	short	unspecified	T1
FRA40562	FRA40562	Balzac, Honoré de	Albert Savarus    	NA	NA	viaf:29529595	NA	1842	NA	fra	40691	NA	NA	U	short	unspecified	T1
FRA40565	FRA40565	Balzac, Honoré de	Un début dans la vie    	NA	NA	viaf:29529595	NA	1842	NA	fra	57737	NA	NA	U	medium	unspecified	T1
FRA40736	FRA40736	Sue, Eugène	Le morne au diable     	NA	NA	viaf:66473859	NA	1842	NA	fra	110030	NA	NA	U	long	unspecified	T1
FRA03801_Stern	FRA03801	Stern, Daniel [Marie d'Agoult]	Hervé    	1805	1876	viaf:186930001	Project Gutenberg     	1843	NA	fr	16339	NA	mixed     	F	short	low	T1
FRA40129	FRA40129	Sue, Eugène	Les mystères de Paris, tome 4    	NA	NA	viaf:66473859	NA	1843	NA	fra	110095	NA	NA	U	long	unspecified	T1
FRA40130	FRA40130	Sue, Eugène	Les mystères de Paris, tome 5    	NA	NA	viaf:66473859	NA	1843	NA	fra	101201	NA	NA	U	long	unspecified	T1
FRA40442	FRA40442	Sand, George		NA	NA	viaf:46766944	NA	1843	NA	fra	101612	NA	NA	U	long	unspecified	T1
FRA40443	FRA40443	Sand, George		NA	NA	viaf:46766944	NA	1843	NA	fra	100908	NA	NA	U	long	unspecified	T1
FRA40608	FRA40608	Féval, Paul		NA	NA	viaf:17222447	NA	1843	NA	fra	76316	NA	NA	U	medium	unspecified	T1
FRA40615	FRA40615	Féval, Paul		NA	NA	viaf:17222447	NA	1843	NA	fra	74390	NA	NA	U	medium	unspecified	T1
FRA40620	FRA40620	Féval, Paul		NA	NA	viaf:17222447	NA	1843	NA	fra	116777	NA	NA	U	long	unspecified	T1
FRA40627	FRA40627	Féval, Paul		NA	NA	viaf:17222447	NA	1843	NA	fra	127952	NA	NA	U	long	unspecified	T1
FRA40628	FRA40628	Féval, Paul		NA	NA	NA	NA	1843	NA	fra	159880	NA	NA	U	long	unspecified	T1
FRA40740	FRA40740	Dumas, Alexandre	Le château d'Eppstein    	NA	NA	viaf:51688902	NA	1843	NA	fra	72319	NA	NA	U	medium	unspecified	T1
FRA40452	FRA40452	Sand, George		NA	NA	viaf:46766944	NA	1844	NA	fra	104138	NA	NA	U	long	unspecified	T1
FRA40564	FRA40564	Balzac, Honoré de	Modeste Mignon    	NA	NA	viaf:29529595	NA	1844	NA	fra	91554	NA	NA	U	medium	unspecified	T1
FRA40726	FRA40726	Françoise Sophie Gay, Marie	Ellenore    	NA	NA	viaf:27059297	NA	1844	NA	fra	82700	NA	NA	U	medium	unspecified	T1
FRA40727	FRA40727	Françoise Sophie Gay, Marie	Ellénore    	NA	NA	viaf:27059297	NA	1844	NA	fra	93788	NA	NA	U	medium	unspecified	T1
FRA40743	FRA40743	Sue, Eugène	Le Juif errant    	NA	NA	NA	NA	1844	NA	fra	554519	NA	NA	U	long	unspecified	T1
FRA40440	FRA40440	Sand, George		NA	NA	viaf:46766944	NA	1845	NA	fra	51134	NA	NA	U	medium	unspecified	T1
FRA40444	FRA40444	Sand, George		NA	NA	viaf:46766944	NA	1845	NA	fra	146154	NA	NA	U	long	unspecified	T1
FRA40446	FRA40446	Sand, George		NA	NA	viaf:46766944	NA	1845	NA	fra	110453	NA	NA	U	long	unspecified	T1
FRA40568	FRA40568	Balzac, Honoré de	Les comédiens sans le savoir    	NA	NA	viaf:29529595	NA	1845	NA	fra	20872	NA	NA	U	short	unspecified	T1
FRA40735	FRA40735	Sue, Eugène	Paula Monti, Tome I    	NA	NA	viaf:66473859	NA	1845	NA	fra	45450	NA	NA	U	short	unspecified	T1
FRA40448	FRA40448	Sand, George		NA	NA	viaf:46766944	NA	1846	NA	fra	38748	NA	NA	U	short	unspecified	T1
FRA40450	FRA40450	Sand, George		NA	NA	viaf:46766944	NA	1846	NA	fra	81543	NA	NA	U	medium	unspecified	T1
FRA40569	FRA40569	Balzac, Honoré de	La cousine Bette    	NA	NA	viaf:29529595	NA	1846	NA	fra	151572	NA	NA	U	long	unspecified	T1
FRA40610	FRA40610	Féval, Paul		NA	NA	NA	NA	1846	NA	fra	182137	NA	NA	U	long	unspecified	T1
FRA40621	FRA40621	Féval, Paul	La Quittance de Minuit, tome 1: L'Héritière    	NA	NA	viaf:17222447	NA	1846	NA	fra	87662	NA	NA	U	medium	unspecified	T1
FRA40622	FRA40622	Féval, Paul	La Quittance de Minuit, tome 2 : La galerie du géant    	NA	NA	viaf:17222447	NA	1846	NA	fra	82999	NA	NA	U	medium	unspecified	T1
FRA40570	FRA40570	Balzac, Honoré de	Le cousin Pons    	NA	NA	viaf:29529595	NA	1847	NA	fra	107886	NA	NA	U	long	unspecified	T1
FRA40471	FRA40471	Sand, George		NA	NA	viaf:46766944	NA	1848	NA	fra	48463	NA	NA	U	short	unspecified	T1
FRA40733	FRA40733	Gautier, Théophile	Partie carrée    	NA	NA	viaf:96428598	NA	1848	NA	fra	61777	NA	NA	U	medium	unspecified	T1
FRA40008	FRA40008	Dumas, Alexandre	Les mariages du père Olifus    	NA	NA	viaf:51688902	NA	1849	NA	fra	61684	NA	NA	U	medium	unspecified	T1
FRA40131	FRA40131	Sue, Eugène	Les mystères du peuple. Histoire d'une famille de prolétaires à travers les âges, tome 2    	NA	NA	viaf:66473859	NA	1849	NA	fra	92617	NA	NA	U	medium	unspecified	T1
FRA40472	FRA40472	Sand, George		NA	NA	viaf:46766944	NA	1849	NA	fra	59454	NA	NA	U	medium	unspecified	T1
FRA40724	FRA40724	Dumas, Alexandre	Les mille et un fantômes    	NA	NA	viaf:51688902	NA	1849	NA	fra	53147	NA	NA	U	medium	unspecified	T1
FRA40007	FRA40007	Dumas, Alexandre	La femme au collier de velours    	NA	NA	viaf:51688902	NA	1850	NA	fra	59772	NA	NA	U	medium	unspecified	T1
FRA40132	FRA40132	Sue, Eugène	Les mystères du peuple. Histoire d'une famille de prolétaires à travers les âges, tome 3    	NA	NA	viaf:66473859	NA	1850	NA	fra	128709	NA	NA	U	long	unspecified	T1
FRA40133	FRA40133	Sue, Eugène	Les mystères du peuple. Histoire d'une famille de prolétaires à travers les âges, tome 4    	NA	NA	viaf:66473859	NA	1850	NA	fra	144374	NA	NA	U	long	unspecified	T1
