corpus-id	filename	xmlid	author-name	title	author-birth	author-death	author-gender	author-ids	reference-year	first-edition	digital-edition	print-edition	provenance	title-ids	language	numwords	subgenre	narrative-perspective	size-category	reprint-count	time-slot
ELTeC-fra-ext1	FRA03703_Sand	FRA03703	Sand, George [Amantine Lucile Aurore Dupin]	Le Compagnon du Tour de France	1804	1876	F	viaf:46766944	1840	1840	NA	NA	NA	viaf:194896547	fr	89154	NA	NA	medium	high	T1
ELTeC-fra-ext1	FRA40474	FRA40474	NA		NA	NA	U	viaf:46766944	1840	1840	NA	NA	NA	NA	fra	83095	NA	NA	medium	unspecified	T1
ELTeC-fra-ext1	FRA40567	FRA40567	NA	Pierrette	NA	NA	U	viaf:29529595	1840	1840	2014	1843	NA	NA	fra	51321	NA	NA	medium	unspecified	T1
ELTeC-fra-ext1	FRA40566	FRA40566	NA	Ursule Mirouët	NA	NA	U	viaf:29529595	1841	1841	2014	1843	NA	NA	fra	82457	NA	NA	medium	unspecified	T1
ELTeC-fra-ext1	FRA40571	FRA40571	NA	Une ténébreuse affaire	NA	NA	U	viaf:29529595	1841	1841	2014	1842	NA	NA	fra	72648	NA	NA	medium	unspecified	T1
ELTeC-fra-ext1	FRA40454	FRA40454	NA		NA	NA	U	viaf:46766944	1841	1841	NA	NA	NA	NA	fra	122840	NA	NA	long	unspecified	T1
ELTeC-fra-ext1	FRA40572	FRA40572	NA	Le curé de village	NA	NA	U	viaf:29529595	1841	1841	2014	1842	NA	NA	fra	89397	NA	NA	medium	unspecified	T1
ELTeC-fra-ext1	FRA40001	FRA40001	NA	L'amour impossible	NA	NA	U	viaf:49221211	1841	1841	NA	NA	NA	NA	fra	34604	NA	NA	short	unspecified	T1
ELTeC-fra-ext1	FRA40563	FRA40563	NA	Mémoires de deux jeunes mariées	NA	NA	U	viaf:29529595	1841	1841	2014	1842	NA	NA	fra	80053	NA	NA	medium	unspecified	T1
ELTeC-fra-ext1	FRA40459	FRA40459	NA		NA	NA	U	viaf:46766944	1842	1842	NA	2004	NA	NA	fra	122059	NA	NA	long	unspecified	T1
ELTeC-fra-ext1	FRA40461	FRA40461	NA		NA	NA	U	viaf:46766944	1842	1842	NA	2004	NA	NA	fra	104120	NA	NA	long	unspecified	T1
ELTeC-fra-ext1	FRA40736	FRA40736	NA	Le morne au diable	NA	NA	U	viaf:66473859	1842	1842	2011	1846	NA	NA	fra	110030	NA	NA	long	unspecified	T1
ELTeC-fra-ext1	FRA40565	FRA40565	NA	Un début dans la vie	NA	NA	U	viaf:29529595	1842	1842	2014	1845	NA	NA	fra	57737	NA	NA	medium	unspecified	T1
ELTeC-fra-ext1	FRA40460	FRA40460	NA		NA	NA	U	viaf:46766944	1842	1842	NA	2004	NA	NA	fra	107682	NA	NA	long	unspecified	T1
ELTeC-fra-ext1	FRA40561	FRA40561	NA	La fausse maîtresse	NA	NA	U	viaf:29529595	1842	1842	2014	1842	NA	NA	fra	18687	NA	NA	short	unspecified	T1
ELTeC-fra-ext1	FRA40127	FRA40127	NA	Les mystères de Paris, tome 1	NA	NA	U	viaf:66473859	1842	1842	2006	source	NA	NA	fra	120431	NA	NA	long	unspecified	T1
ELTeC-fra-ext1	FRA40128	FRA40128	NA	Les mystères de Paris, tome 2	NA	NA	U	viaf:66473859	1842	1842	2006	source	NA	NA	fra	122378	NA	NA	long	unspecified	T1
