filename	xmlid	au-name	title	au-birth	au-death	au-ids	digitalSource	firsted-yr	title-ids	language	numwords	subgenre	narr-per	au-gender	sizeCat	reprintCount	time-slot
FRA40725	FRA40725	NA	Les Natchez	NA	NA	viaf:7388218	NA	1821	NA	fra	151015	NA	NA	U	long	unspecified	T1
FRA40729	FRA40729	NA	Expédition nocturne autour de ma chambre	NA	NA	viaf:29612438	NA	1825	NA	fra	16406	NA	NA	U	short	unspecified	T1
FRA40741	FRA40741	NA	L'âne mort et la femme guillotinée	NA	NA	viaf:51774748	NA	1827	NA	fra	53929	NA	NA	U	medium	unspecified	T1
FRA40004	FRA40004	NA	La Peau de chagrin	NA	NA	viaf:29529595	NA	1831	NA	fra	88812	NA	NA	U	medium	unspecified	T1
FRA40723	FRA40723	NA	Louis Lambert	NA	NA	viaf:29529595	NA	1832	NA	fra	38617	NA	NA	U	short	unspecified	T1
FRA40470	FRA40470	NA		NA	NA	viaf:46766944	NA	1832	NA	fra	90629	NA	NA	U	medium	unspecified	T1
FRA40464	FRA40464	NA		NA	NA	viaf:46766944	NA	1832	NA	fra	93118	NA	NA	U	medium	unspecified	T1
FRA40453	FRA40453	NA		NA	NA	viaf:46766944	NA	1833	NA	fra	102805	NA	NA	U	long	unspecified	T1
FRA40005	FRA40005	NA	Séraphita	NA	NA	viaf:29529595	NA	1834	NA	fra	49623	NA	NA	U	short	unspecified	T1
FRA40465	FRA40465	NA		NA	NA	viaf:46766944	NA	1834	NA	fra	61192	NA	NA	U	medium	unspecified	T1
FRA40469	FRA40469	NA		NA	NA	viaf:46766944	NA	1834	NA	fra	47271	NA	NA	U	short	unspecified	T1
FRA40366	FRA40366	NA		NA	NA	viaf:96428598	NA	1835	NA	fra	93440	NA	NA	U	medium	unspecified	T1
FRA40463	FRA40463	NA		NA	NA	viaf:46766944	NA	1835	NA	fra	62388	NA	NA	U	medium	unspecified	T1
FRA40441	FRA40441	NA		NA	NA	viaf:46766944	NA	1836	NA	fra	53672	NA	NA	U	medium	unspecified	T1
FRA40473	FRA40473	NA		NA	NA	viaf:46766944	NA	1837	NA	fra	61516	NA	NA	U	medium	unspecified	T1
FRA40468	FRA40468	NA		NA	NA	viaf:46766944	NA	1837	NA	fra	113382	NA	NA	U	long	unspecified	T1
FRA40467	FRA40467	NA		NA	NA	viaf:46766944	NA	1837	NA	fra	42858	NA	NA	U	short	unspecified	T1
FRA40567	FRA40567	NA	Pierrette	NA	NA	viaf:29529595	NA	1840	NA	fra	51321	NA	NA	U	medium	unspecified	T1
FRA40474	FRA40474	NA		NA	NA	viaf:46766944	NA	1840	NA	fra	83095	NA	NA	U	medium	unspecified	T1
FRA03703_Sand	FRA03703	Sand, George [Amantine Lucile Aurore Dupin]	Le Compagnon du Tour de France	1804	1876	viaf:46766944	NA	1840	viaf:194896547	fr	89154	NA	NA	F	medium	high	T1
FRA40001	FRA40001	NA	L’amour impossible	NA	NA	viaf:49221211	NA	1841	NA	fra	34604	NA	NA	U	short	unspecified	T1
FRA40566	FRA40566	NA	Ursule Mirouët	NA	NA	viaf:29529595	NA	1841	NA	fra	82457	NA	NA	U	medium	unspecified	T1
FRA40571	FRA40571	NA	Une ténébreuse affaire	NA	NA	viaf:29529595	NA	1841	NA	fra	72648	NA	NA	U	medium	unspecified	T1
FRA40572	FRA40572	NA	Le curé de village	NA	NA	viaf:29529595	NA	1841	NA	fra	89397	NA	NA	U	medium	unspecified	T1
FRA40563	FRA40563	NA	Mémoires de deux jeunes mariées	NA	NA	viaf:29529595	NA	1841	NA	fra	80053	NA	NA	U	medium	unspecified	T1
FRA40454	FRA40454	NA		NA	NA	viaf:46766944	NA	1841	NA	fra	122840	NA	NA	U	long	unspecified	T1
FRA40128	FRA40128	NA	Les mystères de Paris, tome 2	NA	NA	viaf:66473859	NA	1842	NA	fra	122378	NA	NA	U	long	unspecified	T1
FRA40561	FRA40561	NA	La fausse maîtresse	NA	NA	viaf:29529595	NA	1842	NA	fra	18687	NA	NA	U	short	unspecified	T1
FRA40562	FRA40562	NA	Albert Savarus	NA	NA	viaf:29529595	NA	1842	NA	fra	40691	NA	NA	U	short	unspecified	T1
FRA40127	FRA40127	NA	Les mystères de Paris, tome 1	NA	NA	viaf:66473859	NA	1842	NA	fra	120431	NA	NA	U	long	unspecified	T1
FRA40736	FRA40736	NA	Le morne au diable 	NA	NA	viaf:66473859	NA	1842	NA	fra	110030	NA	NA	U	long	unspecified	T1
FRA40459	FRA40459	NA		NA	NA	viaf:46766944	NA	1842	NA	fra	122059	NA	NA	U	long	unspecified	T1
FRA40461	FRA40461	NA		NA	NA	viaf:46766944	NA	1842	NA	fra	104120	NA	NA	U	long	unspecified	T1
FRA40565	FRA40565	NA	Un début dans la vie	NA	NA	viaf:29529595	NA	1842	NA	fra	57737	NA	NA	U	medium	unspecified	T1
FRA40460	FRA40460	NA		NA	NA	viaf:46766944	NA	1842	NA	fra	107682	NA	NA	U	long	unspecified	T1
FRA40443	FRA40443	NA		NA	NA	viaf:46766944	NA	1843	NA	fra	100908	NA	NA	U	long	unspecified	T1
FRA40740	FRA40740	NA	Le château d'Eppstein	NA	NA	viaf:51688902	NA	1843	NA	fra	72319	NA	NA	U	medium	unspecified	T1
FRA40442	FRA40442	NA		NA	NA	viaf:46766944	NA	1843	NA	fra	101612	NA	NA	U	long	unspecified	T1
FRA03801_Stern	FRA03801	Stern, Daniel [Marie d'Agoult]	Hervé	1805	1876	viaf:186930001	Project Gutenberg	1843	NA	fr	16339	NA	mixed	F	short	low	T1
FRA40130	FRA40130	NA	Les mystères de Paris, tome 5	NA	NA	viaf:66473859	NA	1843	NA	fra	101201	NA	NA	U	long	unspecified	T1
FRA40620	FRA40620	NA		NA	NA	viaf:17222447	NA	1843	NA	fra	116777	NA	NA	U	long	unspecified	T1
FRA40615	FRA40615	NA		NA	NA	viaf:17222447	NA	1843	NA	fra	74390	NA	NA	U	medium	unspecified	T1
FRA40129	FRA40129	NA	Les mystères de Paris, tome 4	NA	NA	viaf:66473859	NA	1843	NA	fra	110095	NA	NA	U	long	unspecified	T1
FRA40628	FRA40628	NA		NA	NA	NA	NA	1843	NA	fra	159880	NA	NA	U	long	unspecified	T1
FRA40627	FRA40627	NA		NA	NA	viaf:17222447	NA	1843	NA	fra	127952	NA	NA	U	long	unspecified	T1
FRA40608	FRA40608	NA		NA	NA	viaf:17222447	NA	1843	NA	fra	76316	NA	NA	U	medium	unspecified	T1
FRA40727	FRA40727	NA	Ellénore	NA	NA	viaf:27059297	NA	1844	NA	fra	93788	NA	NA	U	medium	unspecified	T1
FRA40743	FRA40743	NA	Le Juif errant	NA	NA	NA	NA	1844	NA	fra	554519	NA	NA	U	long	unspecified	T1
FRA40726	FRA40726	NA	Ellenore	NA	NA	viaf:27059297	NA	1844	NA	fra	82700	NA	NA	U	medium	unspecified	T1
FRA40452	FRA40452	NA		NA	NA	viaf:46766944	NA	1844	NA	fra	104138	NA	NA	U	long	unspecified	T1
FRA40564	FRA40564	NA	Modeste Mignon	NA	NA	viaf:29529595	NA	1844	NA	fra	91554	NA	NA	U	medium	unspecified	T1
FRA40568	FRA40568	NA	Les comédiens sans le savoir	NA	NA	viaf:29529595	NA	1845	NA	fra	20872	NA	NA	U	short	unspecified	T1
FRA40440	FRA40440	NA		NA	NA	viaf:46766944	NA	1845	NA	fra	51134	NA	NA	U	medium	unspecified	T1
FRA40446	FRA40446	NA		NA	NA	viaf:46766944	NA	1845	NA	fra	110453	NA	NA	U	long	unspecified	T1
FRA40735	FRA40735	NA	Paula Monti, Tome I	NA	NA	viaf:66473859	NA	1845	NA	fra	45450	NA	NA	U	short	unspecified	T1
FRA40444	FRA40444	NA		NA	NA	viaf:46766944	NA	1845	NA	fra	146154	NA	NA	U	long	unspecified	T1
FRA40621	FRA40621	NA	La Quittance de Minuit, tome 1: L'Héritière	NA	NA	viaf:17222447	NA	1846	NA	fra	87662	NA	NA	U	medium	unspecified	T1
FRA40569	FRA40569	NA	La cousine Bette	NA	NA	viaf:29529595	NA	1846	NA	fra	151572	NA	NA	U	long	unspecified	T1
FRA40610	FRA40610	NA		NA	NA	NA	NA	1846	NA	fra	182137	NA	NA	U	long	unspecified	T1
FRA40450	FRA40450	NA		NA	NA	viaf:46766944	NA	1846	NA	fra	81543	NA	NA	U	medium	unspecified	T1
FRA40622	FRA40622	NA	La Quittance de Minuit, tome 2 : La galerie du géant	NA	NA	viaf:17222447	NA	1846	NA	fra	82999	NA	NA	U	medium	unspecified	T1
FRA40448	FRA40448	NA		NA	NA	viaf:46766944	NA	1846	NA	fra	38748	NA	NA	U	short	unspecified	T1
FRA40570	FRA40570	NA	Le cousin Pons	NA	NA	viaf:29529595	NA	1847	NA	fra	107886	NA	NA	U	long	unspecified	T1
FRA40471	FRA40471	NA		NA	NA	viaf:46766944	NA	1848	NA	fra	48463	NA	NA	U	short	unspecified	T1
FRA40733	FRA40733	NA	Partie carrée	NA	NA	viaf:96428598	NA	1848	NA	fra	61777	NA	NA	U	medium	unspecified	T1
FRA40724	FRA40724	NA	Les mille et un fantômes	NA	NA	viaf:51688902	NA	1849	NA	fra	53147	NA	NA	U	medium	unspecified	T1
FRA40131	FRA40131	NA	Les mystères du peuple. Histoire d'une famille de prolétaires à travers les âges, tome 2	NA	NA	viaf:66473859	NA	1849	NA	fra	92617	NA	NA	U	medium	unspecified	T1
FRA40008	FRA40008	NA	Les mariages du père Olifus	NA	NA	viaf:51688902	NA	1849	NA	fra	61684	NA	NA	U	medium	unspecified	T1
FRA40472	FRA40472	NA		NA	NA	viaf:46766944	NA	1849	NA	fra	59454	NA	NA	U	medium	unspecified	T1
FRA40007	FRA40007	NA	La femme au collier de velours	NA	NA	viaf:51688902	NA	1850	NA	fra	59772	NA	NA	U	medium	unspecified	T1
FRA40609	FRA40609	NA		NA	NA	viaf:17222447	NA	1850	NA	fra	75779	NA	NA	U	medium	unspecified	T1
FRA40133	FRA40133	NA	Les mystères du peuple. Histoire d'une famille de prolétaires à travers les âges, tome 4	NA	NA	viaf:66473859	NA	1850	NA	fra	144374	NA	NA	U	long	unspecified	T1
FRA40132	FRA40132	NA	Les mystères du peuple. Histoire d'une famille de prolétaires à travers les âges, tome 3	NA	NA	viaf:66473859	NA	1850	NA	fra	128709	NA	NA	U	long	unspecified	T1
FRA40462	FRA40462	NA		NA	NA	viaf:46766944	NA	1851	NA	fra	50575	NA	NA	U	medium	unspecified	T1
FRA40134	FRA40134	NA	Les mystères du peuple. Histoire d'une famille de prolétaires à travers les âges, tome 6	NA	NA	viaf:66473859	NA	1851	NA	fra	66453	NA	NA	U	medium	unspecified	T1
FRA40135	FRA40135	NA	Les mystères du peuple. Histoire d'une famille de prolétaires à travers les âges, tome 7	NA	NA	viaf:author	NA	1851	NA	fra	173113	NA	NA	U	long	unspecified	T1
FRA40002	FRA40002	NA	L'ensorcelée	NA	NA	viaf:49221211	NA	1852	NA	fra	73079	NA	NA	U	medium	unspecified	T1
FRA40010	FRA40010	NA	La baronne trépassée	NA	NA	viaf:17228199	NA	1852	NA	fra	63872	NA	NA	U	medium	unspecified	T1
FRA40623	FRA40623	NA	La Reine des Épées (Forêt Noire)	NA	NA	viaf:17222447	NA	1852	NA	fra	91067	NA	NA	U	medium	unspecified	T1
FRA40011	FRA40011	NA	La femme immortelle	NA	NA	viaf:17228199	NA	1852	NA	fra	91378	NA	NA	U	medium	unspecified	T1
FRA40137	FRA40137	NA	Les mystères du peuple. Histoire d'une famille de prolétaires à travers les âges, tome 9	NA	NA	viaf:66473859	NA	1853	NA	fra	109001	NA	NA	U	long	unspecified	T1
FRA40136	FRA40136	NA	Les mystères du peuple. Histoire d'une famille de prolétaires à travers les âges, tome 8	NA	NA	viaf:66473859	NA	1853	NA	fra	112138	NA	NA	U	long	unspecified	T1
FRA40449	FRA40449	NA		NA	NA	viaf:46766944	NA	1853	NA	fra	123152	NA	NA	U	long	unspecified	T1
FRA40139	FRA40139	NA	Les mystères du peuple. Histoire d'une famille de prolétaires à travers les âges, tome 11	NA	NA	viaf:66473859	NA	1854	NA	fra	123004	NA	NA	U	long	unspecified	T1
FRA40738	FRA40738	NA	Aurélia	NA	NA	viaf:24596532	NA	1854	NA	fra	30852	NA	NA	U	short	unspecified	T1
FRA40138	FRA40138	NA	Les mystères du peuple. Histoire d'une famille de prolétaires à travers les âges, tome 10	NA	NA	viaf:66473859	NA	1854	NA	fra	111857	NA	NA	U	long	unspecified	T1
FRA40636	FRA40636	NA		NA	NA	viaf:17222447	NA	1855	NA	fra	50006	NA	NA	U	medium	unspecified	T1
FRA40140	FRA40140	NA	Les mystères du peuple. Histoire d'une famille de prolétaires à travers les âges, tome 12	NA	NA	viaf:66473859	NA	1855	NA	fra	107922	NA	NA	U	long	unspecified	T1
FRA40617	FRA40617	NA		NA	NA	NA	NA	1856	NA	fra	325297	NA	NA	U	long	unspecified	T1
FRA40616	FRA40616	NA	La Louve, tome 2: Valentine de Rohan	NA	NA	viaf:17222447	NA	1856	NA	fra	61584	NA	NA	U	medium	unspecified	T1
FRA40742	FRA40742	NA	Avatar	NA	NA	viaf:96428598	NA	1856	NA	fra	32933	NA	NA	U	short	unspecified	T1
FRA40141	FRA40141	NA	Les mystères du peuple. Histoire d'une famille de prolétaires à travers les âges, tome 13	NA	NA	viaf:66473859	NA	1856	NA	fra	107696	NA	NA	U	long	unspecified	T1
FRA40003	FRA40003	NA	Le roman de la momie	NA	NA	viaf:96428598	NA	1857	NA	fra	55874	NA	NA	U	medium	unspecified	T1
FRA40142	FRA40142	NA	Les mystères du peuple. Histoire d'une famille de prolétaires à travers les âges, tome 15	NA	NA	viaf:66473859	NA	1857	NA	fra	119567	NA	NA	U	long	unspecified	T1
